cust_id,sex,emoji_modifier,date,duration,flags,device_name,line,battery_life,water_resitance,heart_rate_sensor,pulse_oximiter,gps,sleep_tracking,smart_notifications
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-15,396,1,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-24,409,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-30,403,1,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-11,441,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-02,464,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-10,445,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-22,477,2,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-19,417,1,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-01,392,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-14,469,2,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-03,424,3,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-09,445,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-23,459,2,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-16,437,3,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-26,406,1,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-31,406,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-29,450,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
0026d83d-e730-490e-8497-a1a8b0d6c7fa,Female,U+1F3FB,2022-01-08,435,0,Run BE,Run,Up to 14 days,"Waterproof, 10 ATM",Yes,Yes,Yes,Yes,Yes
